PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
400,380,1,256,0.512,256,0.512,270432446021641,270432446021824,183,2.3781420765027326,1.3989071038251366
400,390,1,256,0.512,256,0.512,281427593191915,281427593192098,183,2.3781420765027326,1.3989071038251366
400,400,1,256,0.512,256,0.512,275249395530492,275249395530676,184,2.365217391304348,1.391304347826087
400,410,1,256,0.512,256,0.512,252552532194824,252552532195008,184,2.365217391304348,1.391304347826087
400,420,1,256,0.512,256,0.512,279398706953921,279398706954103,182,2.3912087912087916,1.4065934065934067
400,430,1,256,0.512,256,0.512,281461919708671,281461919708855,184,2.365217391304348,1.391304347826087
400,440,1,256,0.512,256,0.512,275963962391555,275963962391737,182,2.3912087912087916,1.4065934065934067
400,450,1,256,0.512,256,0.512,251766520015281,251766520015463,182,2.3912087912087916,1.4065934065934067
410,300,1,256,0.512,256,0.512,135634906938374,135634906938557,183,2.3781420765027326,1.3989071038251366
410,310,1,256,0.512,256,0.512,266038762922442,266038762922625,183,2.3781420765027326,1.3989071038251366
410,320,1,256,0.512,256,0.512,251723654297068,251723654297251,183,2.3781420765027326,1.3989071038251366
410,330,1,256,0.512,256,0.512,278154949910149,278154949910332,183,2.3781420765027326,1.3989071038251366
410,340,1,256,0.512,256,0.512,281466319597829,281466319598013,184,2.365217391304348,1.391304347826087
410,350,1,256,0.512,256,0.512,275921499838174,275921499838357,183,2.3781420765027326,1.3989071038251366
410,360,1,256,0.512,256,0.512,270436705105088,270436705105271,183,2.3781420765027326,1.3989071038251366
410,370,1,256,0.512,256,0.512,255056530632444,255056530632627,183,2.3781420765027326,1.3989071038251366
410,380,1,256,0.512,256,0.512,272652945244092,272652945244275,183,2.3781420765027326,1.3989071038251366
410,390,1,256,0.512,256,0.512,97696999471205,97696999471387,182,2.3912087912087916,1.4065934065934067
410,400,1,256,0.512,256,0.512,135218434079333,135218434079517,184,2.365217391304348,1.391304347826087
410,410,1,256,0.512,256,0.512,272088266658404,272088266658588,184,2.365217391304348,1.391304347826087
410,420,1,256,0.512,256,0.512,199999408698805,199999408698989,184,2.365217391304348,1.391304347826087
410,430,1,256,0.512,256,0.512,245734405996168,245734405996352,184,2.365217391304348,1.391304347826087
410,440,1,256,0.512,256,0.512,279228518628871,279228518629054,183,2.3781420765027326,1.3989071038251366
410,450,1,256,0.512,256,0.512,280358145014781,280358145014964,183,2.3781420765027326,1.3989071038251366
420,300,1,256,0.512,256,0.512,133006513405698,133006513405881,183,2.3781420765027326,1.3989071038251366
420,310,1,256,0.512,256,0.512,270471101148673,270471101148855,182,2.3912087912087916,1.4065934065934067
420,320,1,256,0.512,256,0.512,264960743078880,264960743079063,183,2.3781420765027326,1.3989071038251366
420,330,1,256,0.512,256,0.512,251787827078274,251787827078457,183,2.3781420765027326,1.3989071038251366
420,340,1,256,0.512,256,0.512,275408335076102,275408335076286,184,2.365217391304348,1.391304347826087
420,350,1,256,0.512,256,0.512,270475342243272,270475342243456,184,2.365217391304348,1.391304347826087
420,360,1,256,0.512,256,0.512,272631370216944,272631370217128,184,2.365217391304348,1.391304347826087
420,370,1,256,0.512,256,0.512,280361957252226,280361957252410,184,2.365217391304348,1.391304347826087
420,380,1,256,0.512,256,0.512,252814491235580,252814491235762,182,2.3912087912087916,1.4065934065934067
420,390,1,256,0.512,256,0.512,241875291896574,241875291896757,183,2.3781420765027326,1.3989071038251366
420,400,1,256,0.512,256,0.512,97242136146938,97242136147122,184,2.365217391304348,1.391304347826087
420,410,1,256,0.512,256,0.512,263324402810185,263324402810370,185,2.352432432432433,1.3837837837837839
420,420,1,256,0.512,256,0.512,270471131954438,270471131954620,182,2.3912087912087916,1.4065934065934067
420,430,1,256,0.512,256,0.512,260308907193791,260308907193974,183,2.3781420765027326,1.3989071038251366
420,440,1,256,0.512,256,0.512,274706105889597,274706105889779,182,2.3912087912087916,1.4065934065934067
420,450,1,256,0.512,256,0.512,280902671923430,280902671923613,183,2.3781420765027326,1.3989071038251366
430,300,1,256,0.512,256,0.512,251787692472257,251787692472439,182,2.3912087912087916,1.4065934065934067
430,310,1,256,0.512,256,0.512,255052168426999,255052168427182,183,2.3781420765027326,1.3989071038251366
430,320,1,256,0.512,256,0.512,281155968955887,281155968956070,183,2.3781420765027326,1.3989071038251366
430,330,1,256,0.512,256,0.512,208905015488505,208905015488688,183,2.3781420765027326,1.3989071038251366
430,340,1,256,0.512,256,0.512,200075513034692,200075513034875,183,2.3781420765027326,1.3989071038251366
430,350,1,256,0.512,256,0.512,268273653642857,268273653643041,184,2.365217391304348,1.391304347826087
430,360,1,256,0.512,256,0.512,280353905964041,280353905964223,182,2.3912087912087916,1.4065934065934067
430,370,1,256,0.512,256,0.512,135097942176507,135097942176690,183,2.3781420765027326,1.3989071038251366
430,380,1,256,0.512,256,0.512,274295927896834,274295927897018,184,2.365217391304348,1.391304347826087
430,390,1,256,0.512,256,0.512,277051159608316,277051159608499,183,2.3781420765027326,1.3989071038251366
430,400,1,256,0.512,256,0.512,209171273838276,209171273838462,186,2.339784946236559,1.3763440860215055
430,410,1,256,0.512,256,0.512,65419800821255,65419800821438,183,2.3781420765027326,1.3989071038251366
430,420,1,256,0.512,256,0.512,266081644574723,266081644574907,184,2.365217391304348,1.391304347826087
430,430,1,256,0.512,256,0.512,260540047488457,260540047488642,185,2.352432432432433,1.3837837837837839
430,440,1,256,0.512,256,0.512,274766135672836,274766135673019,183,2.3781420765027326,1.3989071038251366
430,450,1,256,0.512,256,0.512,277061696027397,277061696027579,182,2.3912087912087916,1.4065934065934067
440,300,1,256,0.512,256,0.512,210526403378310,210526403378493,183,2.3781420765027326,1.3989071038251366
440,310,1,256,0.512,256,0.512,271243823529668,271243823529851,183,2.3781420765027326,1.3989071038251366
440,320,1,256,0.512,256,0.512,275401808083206,275401808083389,183,2.3781420765027326,1.3989071038251366
440,330,1,256,0.512,256,0.512,280358049970945,280358049971128,183,2.3781420765027326,1.3989071038251366
440,340,1,256,0.512,256,0.512,272592983811463,272592983811648,185,2.352432432432433,1.3837837837837839
440,350,1,256,0.512,256,0.512,279171397704952,279171397705134,182,2.3912087912087916,1.4065934065934067
440,360,1,256,0.512,256,0.512,272635832673733,272635832673917,184,2.365217391304348,1.391304347826087
440,370,1,256,0.512,256,0.512,184640541536240,184640541536424,184,2.365217391304348,1.391304347826087
440,380,1,256,0.512,256,0.512,245179801467881,245179801468064,183,2.3781420765027326,1.3989071038251366
440,390,1,256,0.512,256,0.512,266008765595367,266008765595550,183,2.3781420765027326,1.3989071038251366
440,400,1,256,0.512,256,0.512,276774092570632,276774092570816,184,2.365217391304348,1.391304347826087
440,410,1,256,0.512,256,0.512,274860474431722,274860474431906,184,2.365217391304348,1.391304347826087
440,420,1,256,0.512,256,0.512,240599755717608,240599755717791,183,2.3781420765027326,1.3989071038251366
440,430,1,256,0.512,256,0.512,281465949911558,281465949911743,185,2.352432432432433,1.3837837837837839
440,440,1,256,0.512,256,0.512,184709109907396,184709109907578,182,2.3912087912087916,1.4065934065934067
440,450,1,256,0.512,256,0.512,280358182124546,280358182124729,183,2.3781420765027326,1.3989071038251366
450,300,1,256,0.512,256,0.512,270169372344264,270169372344446,182,2.3912087912087916,1.4065934065934067
450,310,1,256,0.512,256,0.512,281440514996169,281440514996352,183,2.3781420765027326,1.3989071038251366
450,320,1,256,0.512,256,0.512,251743748548618,251743748548801,183,2.3781420765027326,1.3989071038251366
450,330,1,256,0.512,256,0.512,269801204414983,269801204415166,183,2.3781420765027326,1.3989071038251366
450,340,1,256,0.512,256,0.512,281431857364480,281431857364664,184,2.365217391304348,1.391304347826087
450,350,1,256,0.512,256,0.512,279232869431228,279232869431410,182,2.3912087912087916,1.4065934065934067
450,360,1,256,0.512,256,0.512,280323769625967,280323769626150,183,2.3781420765027326,1.3989071038251366
450,370,1,256,0.512,256,0.512,186805172567299,186805172567482,183,2.3781420765027326,1.3989071038251366
450,380,1,256,0.512,256,0.512,280074645138868,280074645139050,182,2.3912087912087916,1.4065934065934067
450,390,1,256,0.512,256,0.512,280331003407624,280331003407806,182,2.3912087912087916,1.4065934065934067
450,400,1,256,0.512,256,0.512,265763834427378,265763834427561,183,2.3781420765027326,1.3989071038251366
450,410,1,256,0.512,256,0.512,196760839517954,196760839518136,182,2.3912087912087916,1.4065934065934067
450,420,1,256,0.512,256,0.512,257181198318532,257181198318715,183,2.3781420765027326,1.3989071038251366
450,430,1,256,0.512,256,0.512,240780094208090,240780094208274,184,2.365217391304348,1.391304347826087
450,440,1,256,0.512,256,0.512,194491922628102,194491922628286,184,2.365217391304348,1.391304347826087
450,450,1,256,0.512,256,0.512,140677220262832,140677220263016,184,2.365217391304348,1.391304347826087
300,300,1,1280,2.56,1280,2.56,186214349701059,186214349701819,760,2.863157894736842,1.6842105263157894
300,310,1,1280,2.56,1280,2.56,1208734503002,1208734503761,759,2.8669301712779975,1.686429512516469
300,320,1,1280,2.56,1280,2.56,202431047718495,202431047719255,760,2.863157894736842,1.6842105263157894
